DC Number,Offense Date,Offense,Sentence Date,County,Case No.,Prison Sentence Length
011225,10/29/1969,BURG/DWELL/OCCUP.CONVEY,10/12/1971,BROWARD,6926020,8Y 0M 0D
011225,07/15/1971,BURGLARY ASSAULT ANY PERSON,10/12/1971,BROWARD,7117071,8Y 0M 0D
011225,10/22/1976,KIDNAP;COMM.OR FAC.FELONY,05/13/1977,HILLSBOROUGH,7605036,SENTENCED TO LIFE
011225,10/22/1976,1ST DG MUR/PREMED. OR ATT.,05/13/1977,HILLSBOROUGH,7605036,DEATH SENTENCE
011225,06/04/1975,1ST DG MUR/PREMED. OR ATT.,11/19/2018,PALM BEACH,1609719,SENTENCED TO LIFE
008035,04/10/1973,ROBB. GUN OR DEADLY WPN,04/30/1974,MIAMI-DADE,7302480,SENTENCED TO LIFE
008035,02/19/1981,ESCAPE,05/21/1981,BAKER,8100015,1Y 0M 0D
008035,08/31/1982,1ST DG MUR/PREMED. OR ATT.,02/01/1984,MIAMI-DADE,8300435,DEATH SENTENCE
053948,12/24/1975,1ST DG MUR/PREMED. OR ATT.,07/16/1976,DUVAL,7601082,DEATH SENTENCE
053948,12/24/1975,1ST DG MUR/PREMED. OR ATT.,07/16/1976,DUVAL,7601076,DEATH SENTENCE
053948,12/24/1975,"2ND DEG.MURD,DANGEROUS ACT",07/16/1976,DUVAL,7601076,SENTENCED TO LIFE
053948,12/24/1975,"2ND DEG.MURD,DANGEROUS ACT",07/16/1976,DUVAL,7601076,SENTENCED TO LIFE
056338,12/03/1975,1ST DG MUR/PREMED. OR ATT.,11/15/1976,ORANGE,7600532,DEATH SENTENCE
056338,12/01/1975,1ST DG MUR/PREMED. OR ATT.,02/15/1977,ORANGE,7600533,SENTENCED TO LIFE
058279,08/14/1976,1ST DG MUR/PREMED. OR ATT.,02/09/1977,LEE,7600588,DEATH SENTENCE
058279,08/14/1976,"1ST DEG MUR,COM.OF FELONY(ATTEMPTED)",02/09/1977,LEE,7600588,30Y 0M 0D
058279,08/14/1976,"1ST DEG MUR,COM.OF FELONY(ATTEMPTED)",02/09/1977,LEE,7600588,30Y 0M 0D
058293,07/31/1976,1ST DG MUR/PREMED. OR ATT.,02/11/1977,ORANGE,7601942,DEATH SENTENCE
053779,03/30/1976,1ST DG MUR/PREMED. OR ATT.,09/20/1978,MIAMI-DADE,7603350,DEATH SENTENCE
053779,03/30/1976,KIDNAP;COMM.OR FAC.FELONY,09/20/1978,MIAMI-DADE,7603350,SENTENCED TO LIFE
053779,03/30/1976,SEX BAT/ WPN. OR FORCE,09/20/1978,MIAMI-DADE,7603350,SENTENCED TO LIFE
044049,11/09/1977,1ST DG MUR/PREMED. OR ATT.,10/20/1978,ALACHUA,7702332,DEATH SENTENCE
044049,11/09/1977,SEXUAL BATTERY UNSPECIFIED,10/20/1978,ALACHUA,7702332,55Y 0M 0D
044049,11/09/1977,BURGLARY ASSAULT ANY PERSON,10/20/1978,ALACHUA,7702332,30Y 0M 0D
044049,10/15/1980,AGG BATTERY INTENDED HARM,06/08/1981,BRADFORD,8000368,15Y 0M 0D
068610,04/11/1979,1ST DG MUR/PREMED. OR ATT.,06/06/1979,LEE,7900335,SENTENCED TO LIFE
068610,02/07/1983,ESCAPE(ATTEMPTED),04/15/1983,PASCO,8300244,1Y 0M 1D
068610,06/24/1990,1ST DG MUR/PREMED. OR ATT.,03/15/1991,LEON,9002795,DEATH SENTENCE
068610,06/24/1990,ROBB. GUN OR DEADLY WPN,03/15/1991,LEON,9002795,SENTENCED TO LIFE
068610,06/24/1990,"BURGLARY,ARMED W/EXP. OR WEAPO",03/15/1991,LEON,9002795,SENTENCED TO LIFE
